lon,lat,date
2.17,41.406,2019-07-09
2.171,41.406,2019-05-01
2.171,41.406,2019-02-26
2.171,41.406,2019-11-21
2.171,41.406,2019-09-03
2.171,41.406,2019-08-26
2.171,41.406,2019-08-03
2.171,41.406,2019-02-24
2.172,41.406,2019-05-24
2.172,41.406,2019-06-03
2.172,41.406,2019-02-26
2.172,41.406,2019-03-01
2.173,41.406,2019-07-06
2.171,41.406,2019-07-06
2.171,41.406,2019-11-26
2.172,41.406,2019-03-25
2.172,41.406,2019-12-22
2.171,41.406,2019-04-04
2.171,41.406,2019-10-08
2.171,41.406,2019-04-17
2.171,41.406,2019-11-04
2.172,41.406,2019-01-15
2.175,41.406,2019-03-13
2.174,41.406,2019-01-29
2.174,41.406,2019-08-12
2.174,41.406,2019-12-21
2.174,41.406,2019-12-29
2.174,41.405,2019-04-29
2.151,41.405,2019-12-09
2.174,41.406,2019-09-29
2.174,41.405,2019-06-16
2.174,41.406,2019-12-07
2.174,41.406,2019-09-01
2.175,41.407,2019-05-31
2.17,41.405,2019-10-06
2.17,41.405,2019-10-29
2.17,41.405,2019-10-09
2.17,41.405,2019-01-12
2.171,41.405,2019-03-21
2.171,41.405,2019-11-30
2.172,41.406,2019-10-21
2.174,41.405,2019-05-26
2.201,41.406,2019-03-11
2.171,41.405,2019-02-25
2.171,41.405,2019-04-03
2.171,41.405,2019-07-17
2.171,41.405,2019-12-25
2.171,41.405,2019-11-25
2.171,41.405,2019-02-19
2.172,41.405,2019-05-16
2.17,41.405,2019-09-03
2.17,41.405,2019-02-28
2.17,41.405,2019-03-19
2.171,41.405,2019-01-31
2.171,41.405,2019-03-27
2.174,41.405,2019-09-01
2.174,41.405,2019-11-26
2.174,41.405,2019-08-18
2.174,41.406,2019-08-05
2.171,41.405,2019-07-14
2.171,41.405,2019-08-09
2.171,41.405,2019-01-31
2.171,41.405,2019-03-21
2.171,41.405,2019-03-31
2.172,41.405,2019-06-25
2.174,41.405,2019-11-21
2.174,41.405,2019-01-13
2.174,41.405,2019-12-12
2.175,41.405,2019-03-27
2.175,41.405,2019-04-05
2.175,41.405,2019-02-27
2.175,41.405,2019-03-30
2.175,41.406,2019-12-04
2.201,41.406,2019-03-12
2.171,41.405,2019-02-04
2.176,41.406,2019-08-19
2.174,41.405,2019-06-15
2.174,41.405,2019-08-19
2.175,41.405,2019-10-22
2.175,41.405,2019-09-01
2.175,41.405,2019-11-29
2.175,41.405,2019-10-31
2.175,41.405,2019-05-04
2.173,41.405,2019-02-20
2.174,41.405,2019-07-01
2.174,41.405,2019-07-06
2.174,41.405,2019-09-30
2.174,41.405,2019-03-23
2.174,41.405,2019-10-16
2.174,41.405,2019-12-07
2.175,41.405,2019-02-14
2.17,41.405,2019-08-21
2.17,41.405,2019-12-16
2.17,41.405,2019-12-02
2.171,41.405,2019-01-21
2.17,41.405,2019-06-25
2.17,41.405,2019-12-28
2.171,41.405,2019-08-01
2.171,41.405,2019-03-31
2.171,41.405,2019-05-12
2.17,41.405,2019-05-16
2.171,41.405,2019-05-17
2.171,41.405,2019-08-18
2.171,41.405,2019-09-12
2.172,41.405,2019-10-24
2.173,41.405,2019-11-29
2.171,41.405,2019-02-11
2.173,41.405,2019-06-30
2.175,41.405,2019-11-26
2.175,41.405,2019-11-20
2.175,41.405,2019-01-15
2.175,41.405,2019-07-29
2.175,41.406,2019-07-07
2.173,41.405,2019-09-29
2.174,41.405,2019-07-08
2.174,41.405,2019-02-20
2.174,41.405,2019-02-04
2.174,41.405,2019-02-06
2.174,41.405,2019-02-11
2.174,41.405,2019-09-01
2.174,41.405,2019-04-24
2.174,41.405,2019-11-30
2.175,41.405,2019-07-12
2.17,41.404,2019-10-03
2.171,41.404,2019-07-10
2.173,41.405,2019-09-27
2.173,41.405,2019-08-08
2.174,41.405,2019-06-26
2.175,41.405,2019-09-04
2.175,41.405,2019-05-25
2.175,41.405,2019-07-20
2.175,41.405,2019-09-05
2.175,41.405,2019-05-08
2.175,41.406,2019-04-12
2.171,41.404,2019-11-13
2.173,41.405,2019-12-21
2.173,41.405,2019-11-03
2.174,41.405,2019-01-20
2.174,41.405,2019-03-26
2.174,41.405,2019-12-11
2.174,41.405,2019-11-20
2.174,41.405,2019-05-16
2.174,41.405,2019-08-06
2.174,41.405,2019-06-25
2.17,41.404,2019-03-23
2.171,41.404,2019-12-09
2.171,41.404,2019-09-21
2.173,41.405,2019-02-07
2.173,41.404,2019-06-15
2.173,41.404,2019-04-17
2.173,41.404,2019-02-24
2.174,41.404,2019-11-27
2.174,41.404,2019-10-31
2.174,41.404,2019-07-11
2.174,41.404,2019-02-23
2.174,41.404,2019-03-30
2.174,41.404,2019-04-27
2.174,41.404,2019-07-11
2.174,41.404,2019-01-29
2.175,41.404,2019-02-22
2.175,41.404,2019-11-24
2.175,41.404,2019-07-02
2.175,41.404,2019-03-15
2.175,41.404,2019-11-05
2.175,41.406,2019-10-14
2.17,41.404,2019-12-10
2.171,41.404,2019-10-02
2.173,41.404,2019-10-04
2.171,41.404,2019-01-10
2.171,41.404,2019-06-08
2.172,41.404,2019-08-31
2.173,41.404,2019-12-15
2.173,41.404,2019-08-17
2.173,41.404,2019-11-26
2.173,41.404,2019-05-07
2.174,41.404,2019-05-12
2.174,41.404,2019-08-24
2.174,41.404,2019-10-10
2.174,41.404,2019-12-06
2.174,41.404,2019-04-04
2.174,41.404,2019-02-26
2.174,41.404,2019-08-25
2.174,41.404,2019-04-17
2.175,41.404,2019-10-06
2.175,41.404,2019-08-21
2.175,41.404,2019-12-29
2.175,41.404,2019-05-26
2.171,41.404,2019-02-10
2.171,41.404,2019-04-22
2.171,41.404,2019-10-23
2.171,41.404,2019-12-07
2.171,41.404,2019-12-05
2.172,41.404,2019-07-21
2.173,41.404,2019-08-15
2.173,41.404,2019-06-09
2.173,41.404,2019-08-07
2.174,41.404,2019-01-11
2.174,41.404,2019-05-18
2.174,41.404,2019-08-05
2.174,41.404,2019-03-01
2.174,41.404,2019-08-26
2.174,41.404,2019-03-03
2.174,41.404,2019-08-06
2.174,41.404,2019-11-02
2.175,41.404,2019-10-29
2.175,41.404,2019-03-07
2.175,41.404,2019-09-24
2.173,41.404,2019-03-17
2.173,41.404,2019-08-31
2.173,41.404,2019-08-24
2.172,41.404,2019-05-22
2.146,41.404,2019-09-03
2.17,41.404,2019-02-25
2.17,41.404,2019-06-11
2.172,41.404,2019-12-07
2.17,41.404,2019-06-14
2.171,41.404,2019-12-07
2.171,41.404,2019-11-04
2.171,41.404,2019-02-09
2.171,41.404,2019-06-22
2.171,41.404,2019-03-09
2.171,41.404,2019-09-09
2.171,41.404,2019-10-26
2.171,41.404,2019-03-09
2.173,41.404,2019-03-02
2.173,41.404,2019-02-09
2.173,41.404,2019-05-22
2.174,41.404,2019-09-26
2.174,41.404,2019-12-09
2.174,41.404,2019-01-29
2.174,41.404,2019-07-12
2.174,41.404,2019-04-02
2.174,41.404,2019-01-03
2.174,41.404,2019-03-23
2.174,41.404,2019-06-26
2.175,41.404,2019-07-13
2.175,41.404,2019-11-19
2.172,41.404,2019-12-01
2.172,41.404,2019-07-05
2.173,41.404,2019-11-18
2.173,41.404,2019-09-21
2.173,41.404,2019-03-26
2.173,41.404,2019-10-15
2.173,41.404,2019-06-24
2.174,41.404,2019-07-13
2.174,41.404,2019-05-16
2.174,41.404,2019-08-14
2.174,41.404,2019-09-06
2.174,41.404,2019-03-14
2.174,41.404,2019-05-30
2.174,41.404,2019-11-16
2.175,41.404,2019-03-30
2.17,41.404,2019-09-09
2.171,41.404,2019-10-09
2.171,41.404,2019-08-05
2.171,41.404,2019-06-14
2.171,41.404,2019-05-03
2.171,41.404,2019-11-19
2.173,41.404,2019-08-06
2.173,41.404,2019-10-28
2.173,41.404,2019-07-16
2.173,41.404,2019-07-29
2.173,41.404,2019-06-30
2.174,41.404,2019-04-13
2.174,41.404,2019-08-09
2.174,41.404,2019-05-21
2.174,41.404,2019-10-10
2.174,41.404,2019-01-03
2.171,41.404,2019-04-05
2.172,41.404,2019-08-08
2.172,41.404,2019-02-22
2.173,41.404,2019-03-19
2.173,41.404,2019-04-30
2.174,41.404,2019-11-23
2.174,41.404,2019-12-11
2.171,41.404,2019-03-24
2.171,41.403,2019-10-06
2.171,41.404,2019-01-18
2.171,41.404,2019-12-04
2.173,41.404,2019-03-10
2.173,41.404,2019-03-05
2.173,41.404,2019-06-11
2.174,41.404,2019-08-28
2.174,41.404,2019-01-18
2.174,41.404,2019-06-20
2.174,41.404,2019-03-07
2.174,41.404,2019-04-16
2.171,41.403,2019-06-09
2.171,41.404,2019-01-20
2.172,41.404,2019-05-26
2.172,41.404,2019-05-10
2.173,41.404,2019-03-03
2.173,41.404,2019-12-12
2.173,41.404,2019-11-09
2.174,41.404,2019-07-26
2.174,41.404,2019-10-28
2.174,41.404,2019-02-05
2.171,41.403,2019-05-11
2.171,41.403,2019-12-12
2.172,41.403,2019-04-30
2.173,41.403,2019-01-19
2.173,41.403,2019-10-06
2.173,41.403,2019-01-19
2.174,41.403,2019-07-25
2.171,41.403,2019-07-17
2.172,41.403,2019-09-06
2.173,41.403,2019-03-24
2.171,41.403,2019-02-17
2.172,41.403,2019-10-25
2.213,41.404,2019-08-14
2.171,41.403,2019-07-20
2.172,41.403,2019-04-28
2.172,41.403,2019-06-07
2.172,41.403,2019-09-16
2.173,41.403,2019-08-15
2.173,41.403,2019-04-14
2.172,41.403,2019-12-02
2.173,41.403,2019-03-04
2.171,41.403,2019-02-05
2.171,41.403,2019-02-03
2.173,41.403,2019-08-24
2.172,41.403,2019-01-21
2.173,41.403,2019-07-13
2.17,41.403,2019-05-23
2.152,41.402,2019-12-06
2.152,41.402,2019-05-10
2.156,41.401,2019-12-01
2.152,41.401,2019-01-27
2.156,41.401,2019-04-24
2.16,41.402,2019-03-06
2.159,41.401,2019-08-15
2.153,41.401,2019-02-24
2.16,41.402,2019-11-10
2.16,41.402,2019-04-10
2.158,41.401,2019-11-28
2.174,41.401,2019-09-10
2.21,41.402,2019-04-24
2.158,41.401,2019-08-09
2.158,41.401,2019-05-16
2.157,41.401,2019-11-04
2.158,41.401,2019-10-30
2.159,41.401,2019-08-24
2.159,41.401,2019-03-08
2.159,41.401,2019-12-19
2.165,41.401,2019-05-13
2.174,41.401,2019-08-11
2.156,41.401,2019-09-06
2.157,41.401,2019-07-19
2.158,41.401,2019-01-11
2.165,41.401,2019-10-23
2.157,41.401,2019-04-17
2.158,41.401,2019-11-30
2.159,41.401,2019-03-08
2.159,41.401,2019-11-22
2.164,41.401,2019-02-22
2.163,41.401,2019-04-18
2.164,41.401,2019-06-03
2.165,41.401,2019-02-10
2.166,41.401,2019-04-21
2.166,41.401,2019-11-19
2.174,41.401,2019-07-31
2.159,41.401,2019-12-15
2.156,41.401,2019-10-12
2.156,41.401,2019-04-12
2.158,41.401,2019-03-09
2.159,41.401,2019-10-23
2.159,41.401,2019-02-27
2.162,41.401,2019-09-01
2.163,41.401,2019-05-17
2.166,41.401,2019-07-01
2.166,41.401,2019-10-14
2.166,41.401,2019-01-17
2.174,41.401,2019-04-22
2.16,41.402,2019-10-01
2.155,41.401,2019-12-27
2.156,41.401,2019-12-27
2.157,41.401,2019-07-26
2.158,41.401,2019-01-27
2.158,41.401,2019-11-03
2.159,41.401,2019-05-09
2.159,41.401,2019-03-27
2.159,41.401,2019-01-26
2.162,41.401,2019-05-03
2.162,41.401,2019-09-23
2.166,41.401,2019-09-01
2.155,41.4,2019-03-16
2.156,41.401,2019-01-28
2.156,41.4,2019-09-05
2.156,41.4,2019-07-24
2.157,41.401,2019-10-14
2.157,41.4,2019-03-04
2.158,41.4,2019-12-16
2.159,41.4,2019-12-17
2.162,41.401,2019-07-08
2.162,41.401,2019-04-20
2.163,41.401,2019-08-26
2.166,41.401,2019-11-19
2.179,41.401,2019-05-29
2.158,41.4,2019-12-07
2.159,41.4,2019-11-04
2.162,41.4,2019-11-10
2.162,41.4,2019-09-03
2.163,41.4,2019-03-27
2.165,41.4,2019-12-12
2.166,41.4,2019-08-10
2.207,41.401,2019-03-30
2.174,41.402,2019-05-17
2.174,41.402,2019-06-20
2.159,41.401,2019-11-13
2.153,41.4,2019-04-09
2.159,41.401,2019-04-09
2.153,41.4,2019-05-15
2.164,41.401,2019-04-02
2.151,41.4,2019-05-05
2.16,41.4,2019-10-15
2.164,41.401,2019-01-07
2.164,41.4,2019-04-30
2.166,41.4,2019-07-08
2.174,41.402,2019-01-05
2.159,41.4,2019-03-30
2.164,41.4,2019-11-04
2.166,41.4,2019-06-26
2.174,41.401,2019-04-24
2.157,41.4,2019-02-23
2.159,41.4,2019-04-12
2.159,41.4,2019-01-15
2.16,41.4,2019-02-26
2.16,41.4,2019-12-28
2.166,41.4,2019-09-16
2.166,41.4,2019-03-15
2.167,41.4,2019-12-15
2.177,41.404,2019-02-14
2.151,41.4,2019-09-28
2.155,41.4,2019-03-21
2.156,41.4,2019-08-11
2.156,41.4,2019-07-29
2.156,41.4,2019-05-02
2.156,41.4,2019-03-03
2.158,41.4,2019-09-13
2.158,41.4,2019-01-26
2.158,41.4,2019-10-21
2.159,41.4,2019-03-17
2.159,41.4,2019-10-23
2.161,41.4,2019-09-06
2.162,41.4,2019-10-07
2.162,41.4,2019-09-01
2.163,41.4,2019-07-13
2.166,41.4,2019-08-16
2.166,41.4,2019-11-28
2.166,41.4,2019-12-19
2.175,41.4,2019-01-30
2.178,41.403,2019-05-19
2.207,41.401,2019-07-16
2.207,41.401,2019-12-24
2.208,41.401,2019-12-31
2.154,41.4,2019-01-09
2.156,41.401,2019-06-20
2.156,41.401,2019-11-14
2.156,41.4,2019-01-02
2.156,41.4,2019-01-25
2.156,41.4,2019-06-27
2.157,41.4,2019-06-26
2.157,41.4,2019-06-02
2.158,41.4,2019-07-21
2.159,41.4,2019-01-04
2.159,41.4,2019-08-01
2.159,41.4,2019-08-08
2.16,41.4,2019-07-03
2.16,41.4,2019-07-31
2.161,41.4,2019-01-07
2.162,41.4,2019-05-30
2.162,41.4,2019-06-30
2.163,41.4,2019-12-25
2.164,41.4,2019-03-31
2.165,41.4,2019-11-07
2.166,41.4,2019-02-22
2.166,41.4,2019-11-23
2.174,41.402,2019-04-27
2.18,41.4,2019-01-07
2.178,41.404,2019-07-04
2.178,41.404,2019-07-18
2.206,41.401,2019-06-18
2.207,41.401,2019-05-24
2.208,41.401,2019-06-28
2.156,41.4,2019-10-03
2.156,41.4,2019-02-17
2.156,41.4,2019-10-29
2.157,41.4,2019-10-27
2.157,41.4,2019-08-01
2.158,41.4,2019-02-01
2.158,41.4,2019-06-30
2.159,41.4,2019-10-23
2.159,41.4,2019-04-26
2.159,41.4,2019-09-06
2.16,41.4,2019-07-21
2.161,41.4,2019-09-07
2.162,41.4,2019-03-22
2.162,41.4,2019-10-06
2.163,41.4,2019-03-11
2.164,41.4,2019-03-29
2.165,41.4,2019-04-14
2.166,41.4,2019-04-23
2.166,41.4,2019-11-17
2.167,41.4,2019-07-12
2.174,41.402,2019-03-02
2.179,41.401,2019-02-14
2.18,41.4,2019-04-11
2.181,41.4,2019-12-17
2.206,41.4,2019-01-31
2.206,41.4,2019-09-18
2.207,41.4,2019-10-21
2.208,41.4,2019-06-12
2.208,41.4,2019-05-28
2.209,41.4,2019-04-24
2.151,41.4,2019-11-26
2.155,41.4,2019-06-24
2.156,41.4,2019-07-20
2.156,41.4,2019-04-18
2.157,41.4,2019-09-12
2.157,41.4,2019-09-16
2.157,41.4,2019-08-10
2.158,41.4,2019-09-01
2.158,41.4,2019-05-26
2.159,41.4,2019-05-22
2.159,41.4,2019-07-23
2.159,41.4,2019-05-25
2.16,41.4,2019-06-03
2.16,41.4,2019-01-27
2.161,41.4,2019-05-09
2.162,41.4,2019-07-29
2.162,41.4,2019-03-18
2.163,41.4,2019-02-27
2.164,41.4,2019-09-17
2.166,41.4,2019-07-10
2.166,41.4,2019-05-18
2.166,41.4,2019-04-24
2.178,41.402,2019-06-22
2.18,41.4,2019-02-09
2.177,41.404,2019-12-01
2.181,41.4,2019-02-28
2.181,41.4,2019-07-20
2.179,41.405,2019-04-01
2.206,41.4,2019-06-27
2.206,41.4,2019-11-04
2.207,41.4,2019-07-25
2.208,41.4,2019-05-13
2.208,41.4,2019-11-23
2.156,41.4,2019-10-06
2.156,41.4,2019-07-18
2.156,41.4,2019-03-29
2.157,41.4,2019-07-29
2.157,41.4,2019-07-29
2.158,41.4,2019-02-16
2.158,41.4,2019-08-12
2.158,41.4,2019-04-02
2.159,41.4,2019-05-21
2.159,41.4,2019-12-04
2.159,41.4,2019-10-15
2.159,41.4,2019-11-02
2.161,41.4,2019-08-07
2.162,41.4,2019-02-06
2.162,41.4,2019-10-09
2.166,41.4,2019-12-06
2.166,41.4,2019-01-30
2.166,41.4,2019-03-21
2.18,41.4,2019-02-11
2.18,41.4,2019-08-21
2.18,41.4,2019-07-07
2.181,41.4,2019-07-04
2.18,41.408,2019-09-28
2.206,41.4,2019-12-24
2.206,41.4,2019-11-14
2.206,41.4,2019-05-16
2.207,41.4,2019-08-13
2.208,41.4,2019-08-10
2.208,41.4,2019-07-08
2.208,41.4,2019-11-27
2.208,41.4,2019-04-01
2.156,41.4,2019-06-16
2.155,41.4,2019-08-20
2.156,41.4,2019-07-25
2.156,41.4,2019-09-24
2.157,41.4,2019-03-10
2.157,41.4,2019-03-25
2.157,41.4,2019-09-27
2.158,41.4,2019-09-13
2.158,41.4,2019-03-19
2.159,41.4,2019-08-02
2.159,41.4,2019-07-15
2.159,41.4,2019-11-09
2.159,41.4,2019-01-22
2.159,41.4,2019-09-24
2.16,41.4,2019-10-09
2.16,41.4,2019-04-06
2.161,41.4,2019-09-27
2.161,41.4,2019-09-07
2.165,41.4,2019-10-09
2.166,41.4,2019-05-10
2.166,41.4,2019-12-14
2.166,41.4,2019-04-12
2.166,41.4,2019-01-31
2.18,41.4,2019-01-29
2.181,41.4,2019-10-27
2.181,41.4,2019-05-26
2.181,41.4,2019-10-22
2.178,41.407,2019-02-16
2.181,41.4,2019-10-02
2.206,41.4,2019-07-25
2.206,41.4,2019-06-23
2.206,41.4,2019-06-02
2.206,41.4,2019-02-27
2.207,41.4,2019-03-23
2.207,41.4,2019-01-20
2.207,41.4,2019-12-07
2.208,41.4,2019-09-30
2.208,41.4,2019-02-09
2.156,41.4,2019-09-05
2.156,41.4,2019-07-01
2.156,41.4,2019-11-06
2.157,41.4,2019-09-29
2.157,41.4,2019-04-07
2.158,41.4,2019-09-05
2.159,41.4,2019-10-29
2.159,41.4,2019-10-13
2.159,41.4,2019-06-19
2.159,41.4,2019-12-28
2.159,41.4,2019-09-11
2.159,41.4,2019-06-17
2.16,41.4,2019-03-09
2.161,41.4,2019-11-30
2.161,41.4,2019-07-31
2.165,41.4,2019-02-18
2.166,41.4,2019-12-18
2.166,41.4,2019-10-09
2.18,41.4,2019-10-30
2.18,41.4,2019-01-18
2.18,41.4,2019-06-25
2.181,41.4,2019-05-19
2.181,41.4,2019-05-03
2.182,41.407,2019-02-25
2.206,41.4,2019-10-17
2.206,41.4,2019-02-16
2.206,41.4,2019-08-08
2.206,41.4,2019-11-18
2.207,41.4,2019-09-17
2.207,41.4,2019-03-12
2.208,41.4,2019-01-23
2.208,41.4,2019-12-29
2.208,41.4,2019-06-25
2.208,41.4,2019-06-04
2.209,41.4,2019-11-17
2.156,41.4,2019-08-02
